ID,Area,x_center_of_gravity,y_center_of_gravity,Perimeter
4443,12.0,4685,3298,14.0
4444,249.5,4382,3307,79.35533821582794
4445,8.5,3860,3298,11.41421353816986
4446,15.0,2584,3298,14.828427076339722
4447,76.0,121,3302,33.3137081861496
4448,687.0,5619,3314,165.88224959373474
4449,23.0,4168,3298,18.82842707633972
4450,1976.0,3522,3324,364.3919161558151
4451,61.5,3515,3322,35.21320295333862
4452,53091.0,2605,3459,4144.845123767853
4453,7.0,2595,3533,10.485281229019165
4454,12.5,2639,3526,13.899494647979736
4455,87.0,2772,3524,39.79898953437805
4456,400.5,2569,3532,138.6101711988449
4457,159.0,2725,3512,57.455843567848206
4458,7.0,2482,3496,10.485281229019165
4459,236.0,2510,3501,88.91168713569641
4460,469.0,2547,3498,116.91168701648712
4461,48.5,2517,3479,27.899494647979736
4462,71.0,2497,3483,36.97056245803833
4463,86.0,2528,3477,40.62741661071777
4464,4.0,2427,3431,7.656854152679443
4465,10.0,2750,3410,12.485281109809875
4466,16.5,2612,3400,15.899494767189026
4467,111.5,2501,3399,46.52691113948822
4468,8.5,2610,3367,11.071067690849304
4469,336.0,2585,3375,111.39696848392487
4470,10.0,2513,3345,11.656854152679443
4471,16.0,2561,3339,19.656854152679443
4472,2.0,2569,3337,5.656854152679443
4473,156.5,1203,3301,49.21320295333862
4474,117.5,5708,3302,43.55634891986847
4475,97.5,4894,3299,41.55634891986847
4476,11.5,4779,3296,13.41421353816986
4477,141.5,2087,3300,46.72792184352875
4478,11.0,5841,3294,12.828427076339722
4479,276.5,4145,3304,69.69848430156708
4480,13.0,3520,3294,14.828427076339722
4481,66.5,149,3296,31.899494767189026
4482,10273.5,5758,3359,784.2813050746918
4483,4.0,5768,3382,7.656854152679443
4484,594.5,5791,3374,148.4680359363556
4485,8.5,5797,3384,11.41421353816986
4486,8.5,5796,3378,11.41421353816986
4487,2.0,5773,3352,5.656854152679443
4488,4.0,5774,3350,7.656854152679443
4489,58.0,5706,3338,37.79898941516876
4490,19.5,5694,3335,18.727921724319458
4491,16.0,5685,3331,15.656854152679443
4492,2.0,5687,3328,5.656854152679443
4493,1317.0,5740,3349,359.56348848342896
4494,6.0,5752,3357,10.0
4495,4.0,5731,3331,8.0
4496,239.0,5680,3299,62.28427052497864
4497,82.5,4517,3298,40.72792184352875
4498,9.0,3863,3292,12.0
4499,18736.0,4240,3369,718.925968170166
4500,4.0,4154,3400,7.656854152679443
4501,15.5,4153,3384,16.727921724319458
4502,364.5,2566,3300,103.84061968326569
4503,6.0,1353,3289,10.0
4504,546.0,2481,3301,97.25483298301697
4505,1139.5,1377,3312,221.58073377609253
4506,23.0,1375,3319,21.79898965358734
4507,4.0,5609,3286,8.0
4508,20.5,2594,3287,18.242640614509583
4509,18.0,2534,3286,16.82842707633972
4510,22.5,245,3287,18.242640614509583
4511,25.5,2204,3286,20.242640614509583
4512,37.0,122,3286,23.656854152679443
4513,26.5,36,3287,20.242640614509583
4514,22.5,2,3285,18.242640614509583
4515,162.0,3960,3292,54.97056245803833
4516,967.5,2889,3304,182.95331740379333
4517,47.0,4148,3285,26.485281229019165
4518,142.5,2452,3287,68.87005722522736
4519,11.5,136,3283,13.41421353816986
4520,35.5,5735,3283,23.071067690849304
4521,104.5,5694,3287,40.3847758769989
4522,56.0,5648,3285,28.485281229019165
4523,20.0,5077,3283,18.0
4524,51.5,2890,3284,27.899494647979736
4525,417.5,4550,3297,101.01219260692596
4526,47.0,4479,3284,35.31370830535889
4527,25.0,3567,3282,19.656854152679443
4528,50.5,2544,3284,27.899494767189026
4529,205.5,195,3285,57.2132031917572
4530,218.5,55,3288,60.38477575778961
4531,14.0,5611,3279,14.828427076339722
4532,18.0,2232,3279,16.82842707633972
4533,62.5,2154,3282,30.727921843528748
4534,288.0,5888,3291,80.28427064418793
4535,102.5,4252,3282,48.041630029678345
4536,8.5,3283,3276,11.41421353816986
4537,102.5,4772,3280,39.899494767189026
4538,12.0,4057,3273,14.0
4539,806.5,3584,3291,166.81118178367615
4540,14.0,3326,3274,13.656854152679443
4541,31.5,5072,3273,21.071067690849304
4542,154.0,3305,3275,50.97056245803833
4543,1987.5,2835,3305,231.72286939620972
4544,188.0,5563,3278,80.28427064418793
4545,87.5,4488,3275,46.72792184352875
4546,2.0,4491,3277,5.656854152679443
4547,38.0,4474,3273,24.82842707633972
4548,17.5,3911,3272,18.242640614509583
4549,405.5,3716,3282,80.18376541137695
4550,8.5,3638,3271,11.41421353816986
4551,12.0,492,3271,14.0
4552,57.5,4548,3273,29.071067690849304
4553,278.5,4042,3282,84.18376529216766
4554,155.5,3059,3275,48.041629791259766
4555,27.0,2241,3271,19.656854152679443
4556,4351.0,2054,3319,518.9015820026398
4557,10.0,2064,3311,13.313708305358887
4558,317.5,945,3275,87.35533821582794
4559,451.5,4659,3279,92.66904675960541
4560,83.0,2594,3272,42.97056221961975
4561,94.0,912,3271,37.31370830535889
4562,682.0,5779,3285,164.2253954410553
4563,47.0,3700,3269,26.485281109809875
4564,12.0,3316,3267,14.0
4565,141.5,5098,3271,46.041630029678345
4566,6.0,567,3265,10.0
4567,8.5,5776,3264,11.41421353816986
4568,56.0,5656,3268,29.313708305358887
4569,49.5,4620,3267,27.899494767189026
4570,12.0,3906,3264,14.0
4571,21.5,4256,3264,18.242640614509583
4572,95.5,4066,3266,48.3847758769989
4573,74.0,3618,3266,33.31370830535889
4574,15.0,4054,3263,14.828427076339722
4575,81.0,4022,3266,35.3137081861496
4576,63.0,556,3265,31.313708305358887
4577,1194.0,4116,3285,178.02438521385193
4578,83.0,539,3265,34.485281229019165
4579,333.5,5749,3272,84.52691125869751
4580,369.5,5636,3278,115.49747371673584
4581,68.0,5607,3264,33.65685415267944
4582,139.0,5077,3267,57.79898953437805
4583,476.0,18,3270,89.59797894954681
4584,9.0,3904,3259,12.0
4585,8.5,940,3259,11.41421353816986
4586,87.5,5111,3260,41.55634891986847
4587,3212.5,4428,3291,321.8061283826828
4588,34.0,4444,3283,24.14213514328003
4589,10.0,4450,3280,13.656854152679443
4590,51.0,4428,3281,29.798989415168762
4591,22.5,3305,3257,18.242640614509583
4592,34.5,5690,3259,23.071067571640015
4593,42.5,4903,3260,29.071067690849304
4594,8.0,4453,3256,12.0
4595,66.0,4238,3259,34.14213526248932
4596,13.5,3811,3257,20.242640614509583
4597,271.5,2852,3263,65.21320295333862
4598,545.0,5672,3275,146.225395321846
4599,109.5,4823,3258,39.55634880065918
4600,62.5,4656,3256,29.899494767189026
4601,75.0,197,3256,33.31370830535889
4602,4.0,139,3253,8.0
4603,18.0,4861,3253,15.656854152679443
4604,26.0,4469,3253,19.656854152679443
4605,386.5,3038,3261,83.0121922492981
4606,23052.0,1284,3359,1214.8569866418839
4607,101.0,1254,3389,53.455843448638916
4608,9.0,1258,3376,12.485281229019165
4609,48.0,1292,3377,26.97056221961975
4610,10.0,1220,3368,11.656854152679443
4611,276.0,1320,3377,112.56854140758514
4612,21.5,1323,3360,19.899494767189026
4613,4.0,1320,3358,7.656854152679443
4614,2.0,1327,3356,5.656854152679443
4615,12.0,1330,3354,14.485281229019165
4616,32.0,1234,3341,21.313708186149597
4617,15.0,1253,3328,17.313708186149597
4618,12.0,1233,3329,14.485281229019165
4619,2.0,1257,3327,5.656854152679443
4620,2.0,1294,3321,5.656854152679443
4621,11.0,1242,3315,13.313708186149597
4622,25.0,1225,3315,19.313708186149597
4623,23.0,1262,3305,18.485281229019165
4624,20.0,1237,3292,21.313708305358887
4625,14.0,1280,3288,15.313708186149597
4626,2.0,1256,3283,5.656854152679443
4627,13.5,1261,3277,15.899494767189026
4628,111.5,590,3259,44.72792184352875
4629,57.0,4682,3253,28.485281229019165
4630,12.0,4117,3250,14.0
4631,26.0,3803,3252,19.656854152679443
4632,856.0,3610,3273,196.50966584682465
4633,59.0,3294,3252,29.656854152679443
4634,51.5,494,3252,27.899494767189026
4635,57.0,33,3253,28.485281229019165
4636,16.0,5887,3250,16.0
4637,19.0,4918,3250,16.82842707633972
4638,80.5,5724,3253,36.72792184352875
4639,93.0,4407,3251,39.31370830535889
4640,15.5,443,3248,15.41421353816986
4641,141.5,5657,3252,57.2132031917572
4642,8.0,4545,3247,12.0
4643,1814.5,4197,3272,224.5512969493866
4644,6.0,3161,3247,10.0
4645,4.0,2896,3247,8.0
4646,302.0,5593,3258,87.5979791879654
4647,520.0,2877,3262,110.08326005935669
4648,5457.0,2966,3288,745.0681025981903
4649,6.0,4457,3244,10.0
4650,105.0,3841,3248,40.485281229019165
4651,1145.0,5858,3265,280.93607223033905
4652,306.0,5621,3254,76.76955187320709
4653,384.0,4276,3263,143.88224959373474
4654,75.5,3742,3247,32.72792172431946
4655,22.5,902,3244,18.242640614509583
4656,865.5,4509,3266,165.4385986328125
4657,6.0,4226,3242,10.0
4658,12.0,3855,3243,14.0
4659,42.5,156,3243,25.071067690849304
4660,8.5,4425,3241,11.41421353816986
4661,9.0,3163,3241,12.0
4662,71.0,453,3244,33.3137081861496
4663,3614.0,5030,3288,331.5634888410568
4664,24.5,5039,3258,20.727921724319458
4665,111.0,2048,3245,40.97056245803833
4666,61.0,4111,3240,29.313708305358887
4667,6.0,3294,3238,10.0
4668,57.0,848,3240,28.485281229019165
4669,6.0,4039,3237,10.0
4670,15.5,940,3238,15.41421353816986
4671,29.5,5722,3239,23.071067690849304
4672,26.0,5620,3237,19.656854152679443
4673,79.5,2596,3239,33.899494767189026
4674,714.5,5697,3254,240.75230658054352
4675,2.0,5711,3261,5.656854152679443
4676,6.0,5170,3235,10.0
4677,2401.5,3878,3270,334.63455629348755
4678,11.5,3915,3288,13.899494767189026
4679,226.0,3712,3241,77.4558435678482
4680,57.0,4403,3236,28.485281229019165
4681,339.5,4059,3243,77.35533845424652
4682,36.5,3667,3236,23.071067690849304
4683,283.5,3634,3245,90.87005698680878
4684,2.0,3634,3246,5.656854152679443
4685,11.0,2718,3234,12.828427076339722
4686,72.5,1322,3236,34.72792184352875
4687,1931.5,3775,3257,255.23758804798126
4688,32.5,3541,3234,22.242640614509583
4689,38.5,2657,3234,23.899494647979736
4690,10.0,148,3232,14.0
4691,212.0,4387,3238,56.627416491508484
4692,21.0,39,3231,17.656854152679443
4693,70.5,5706,3235,44.72792184352875
4694,143.0,3815,3235,45.79898953437805
4695,4.0,4776,3228,8.0
4696,21.0,446,3229,17.656854152679443
4697,258.0,432,3237,84.42640626430511
4698,737.5,4252,3239,121.69848418235779
4699,9.0,2266,3227,12.0
4700,130.0,612,3233,45.79898953437805
4701,4.0,5627,3226,8.0
4702,118.0,3556,3231,46.97056233882904
4703,103.0,3311,3230,40.97056233882904
4704,98.0,2975,3230,48.97056245803833
4705,226.0,2434,3239,82.28427052497864
4706,47.5,2240,3228,27.41421353816986
4707,31.5,1342,3226,21.071067690849304
